Biography,DateOfBirth,FirstName,Nationality,Role,SecondName
"Born Civene Muhammad Haafez Nasseem (1955 Cairo), is an Egyptian actress who was first discovered by photographer Abdul Haleem Nasr who gave her a role in his debut as filmmaker. She played several TV roles like “Arees we aroussa i.e. Groom and bride”, “Al-shaahed al-waheed i.e.",10 March 1955,Yousra,Egypt,Actor,
"Karim Qassem is an Egyptian actor. He was born in 1986 in Cairo, and graduated from the American University in Cairo. Karim studied acting in several workshops in London and Paris, and joined Ahmed Kamal's acting studio. He was chosen by producer Hassan Elqalla to be one of", 8 October 1986,Karim,Egypt,Actor,Qassem
"Bassem Samra was born in the village of (Al Saff) in Giza. He has earned an (industrial diploma). His (cinematic career) began with his participation in the documentary film (“Al Qahira Munawara bi Ahlaha”). 
He has worked as a teacher and (an autobiographical film has been made",24 May 1971,Bassem,Egypt,Actor,Samra
"Khaled El Sawy is an Egyptian actor. He was born in Alexandria in 1963. He studied law at Cairo University, and started acting while at college on the university's theater, and after graduating in 1985, he studied directing at the Academy of Arts till 1993. El Sawy then",25 November 1963,Khaled,Egypt,Actor,El Sawy
"Amr is a young Egyptian actor. He was born on December 23, 1980. His career in entertainment began with television commercials and music videos. Thereafter, Nour Al Shereef brought his talents to the public’s attention when he cast him in the television series “Al Daly” in 2007.",23 December 1980,Amr,Egypt,Actor,Youssef
, 1 January 1985,Ahmed,Egypt,SoundEngineer,Adnan
, 6 November 1990,Roshdy,Egypt,GraphicDesigner,Ahmed
"Amir Ramses is an Egyptian director. He was born in 1979, and graduated in 2000 from the High Institute of Cinema. He directed numerous short films and documentaries. He also worked as an assistant director and producer in several independent films. He is best known for directing",12 October 1979,Amir,Egypt,Director,Ramses
,NULL,شوقي,Egypt,Photographer,مهدلي
,NULL,Mahmoud,Egypt,GraphicDesigner,Emara
,29 September 1978,Sherif,Egypt,Director,El Bendary
,NULL,Osama,Egypt,Cinematographer,Omar
,22 May 1987,Mahmoud,Egypt,Producer,Sayed
,16 February 1979,Mohamed,Egypt,Producer,Hamdy
,NULL,Salah,Egypt,Writer,Atris
,NULL,Mostafa,Egypt,Writer,Salem
"Coming from a massive production family Mustafa El Sobky decided to direct his attention to story and script writing. He was a great success producing some of the finest stories such as “Hassan Tayara”, “Shabab Fee El Mamnoo” or “Forbidden Youth”, “Shagee El Ceema” or “Macho Guy”",NULL,Mostafa,Egypt,Writer,Elsobky
,NULL,وائل,Egypt,ArtDirector,نجم
,NULL,Maha,Egypt,CostumeDesigner,Farouk
,23 May 1991,Eslam,Egypt,GraphicDesigner,Over
,10 August 1981,Islam,Egypt,MusicComposer,Sabry
, 7 February 1979,Neveen,Egypt,Director,Shalaby
,NULL,Hany,Egypt,Director,Sabry
,NULL,Mohamed,Egypt,Actor,Drbalh
,24 September 1980,Ahmed,Egypt,Writer,Abou Zeid Tawfik
, 7 September 1993,Mohamed,Egypt,Producer,Nassar
,NULL,Khaled,Egypt,Actor,Omar
,18 September 1971,Hatem,Egypt,Actor,Jamel
, 9 April 1976,Shams,Egypt,Actor,
,NULL,طارق,Egypt,Actor,الهواري
,NULL,مريم,Egypt,Actor,محمد دربالة
,NULL,شيماء,Egypt,Actor,علي
,16 August 1977,Husam,Egypt,Actor,Fares
,NULL,Thomas,Egypt,Actor,
,NULL,Amany,Egypt,Actor,
,NULL,Muhammad,Egypt,Actor,Osama
,NULL,Ahmad,Egypt,Actor,Yahya
,20 February 1948,Ahlam,Egypt,Actor,Al-Gritly
,NULL,هاني,Egypt,Laboratory,حليم
,NULL,Mohamed,Egypt,Editor,El-Shamy
,NULL,Khaled,Egypt,Actor,Masry
, 1 October 1989,Mohamed,Egypt,Director,Hani Abou El Enein
"Aml Ibrahim is an Egyptian actress who started acting when she was young. During this time, she had a number of small roles in evening television shows, plays, and TV serials. Her big break came in 1973 with her role in the comedy “Madrasat Al Mushaghebeen” (School of the Mischie",12 January 1941,Amal,Egypt,Actor,Ibrahim
,NULL,El,Egypt,Editor,Sayed Ahmed Salama
"Randa is a young Egyptian actress. She loved theater from an early age and would often go to the theater with her mother, who worked there as a designer. Randa studied the English language at the faculty of arts. Randa began her television career as a model in commercials, and",18 August 1983,Randa,Egypt,Actor,Al Behiry
Ola Ghanem was born in Cairo. Her father worked as an architect while her mother was an interior designer. Ola graduated from the Photography division at the Faculty of Fine Arts in 1994 but elected not to continue her studies at the Institute of Theatrical Arts. She came to the,26 November 1971,Ola,Egypt,Actor,Ghanem
,NULL,منة,Egypt,Actor,زكي
,NULL,سامي,Egypt,Actor,عبدالباقي
,NULL,Ahmad,Egypt,Actor,Shyboub
,NULL,Wafik,Egypt,Actor,Abou El Saud
,NULL,Ahmed,Egypt,Actor,Moustafa
,NULL,ناجي,Egypt,Actor,أحمد
,NULL,إيهاب,Egypt,Actor,فؤاد
,NULL,Sayed,Egypt,Actor,Al-Sherwedy
,NULL,Abdalla,Egypt,Actor,Mourad
,NULL,كنوز,Egypt,Actor,عبدالجليل
,29 August 2018,AdelAbdel,Egypt,Actor,Salam (Adel Bomba)
,NULL,Saeid,Egypt,Actor,Afifi
,NULL,عادل,Egypt,Actor,الطوبجي
,NULL,أحمد,Egypt,Actor,النبوي
,NULL,فيرو,Egypt,Actor,مجدي
"Laila Gamal is an Egyptian actress. She was born in Alexandria in 1944. She worked mostly in television dramas, picking up supporting roles in series like “Hawanem Garden City” (The Ladies of Garden City), “Mirath Alreeh” (Inherit the Wind), and Ragel we set Setat” (A Man and Six,[سرطان الرئة]", 1 August 1944,Laila,Egypt,Actor,Gamal
,NULL,Mohammed,Egypt,Actor,Al-Gharieb
,NULL,آني,null,Actor,
,NULL,Muhammad,Egypt,Actor,Attiya
,NULL,مؤمن,Egypt,Actor,علي
,NULL,Hasan,Egypt,Actor,Al-Bugegy
,25 July 1967,أشرف,Egypt,Director,عزب
,NULL,Muhammad,Egypt,Actor,Tyson
,NULL,أحمد,Egypt,Actor,الباشا
,NULL,Khaled,Egypt,Actor,Khalil
,NULL,تامر,Egypt,Cinematographer,جوزيف
,NULL,Noha,Egypt,Actor,Taher
"Mamdouh Madah was an Egyptian actor. He graduated from Cairo University's faculty of law in 1990, and worked as a lawyer after his graduation, before switching his career to art. He participated in Al Haraka troupe's theatrical shows in the Cairo Opera House, and landed,[أزمة قلبية]", 1 February 1958,Mamdouh,Egypt,Actor,Maddah
,NULL,Amir,Egypt,Actor,Abdel Fatah
,NULL,Naser,Egypt,Actor,Osman
,NULL,Moatz,Egypt,Actor,Ezz
,14 March 1980,Salma,Egypt,Other,El Daly
,NULL,Magdy,Egypt,Actor,Munir
,NULL,Sayed,Egypt,Actor,Al Tayeb
Fayek Azaab is an Egyptian actor who was born on the 6th of September 1943. He is famous for his supporting roles. He participated in many movies that varied between being the evil and the kind character., 6 September 1943,Fayeq,Egypt,Actor,Azab
"Born in Mansoura in the Egyptian Delta, Ahmad studied Commerce at Mansoura University where he joined the theatre group with which he directed stage plays, did set design, and won the university level award. In cinema, Ahmad has starred in Chahine’s “Sokout Hansawwar""",15 January 1970,Ahmad,Egypt,Actor,Wafiq
"Hanan Karam Motawie is an Egyptian television and film actress. She is the daughter of Soheir Al Morshedy and the late actor Karam Motawie. She graduated from Cairo University from the faculty of commerce. She began her career on ""Hadeeth El Sabah we el Masaa.""",23 February 1979,Hanan,Egypt,Actor,Motawee
,NULL,Tamer,Egypt,Actor,Samir
,NULL,Mohamed,Egypt,Actor,El Komy
,12 February 1958,Ashraf,Egypt,Actor,Tulba
,NULL,محمد,Egypt,Actor,جهينة
, 1 March 1978,Mohamed,Egypt,Actor,El Sherbini
,NULL,Mohamed,Egypt,Actor,Desouqy
,NULL,مودي,Egypt,Actor,الدجوي
,NULL,ثناء,Egypt,Actor,
,NULL,Najwan,Egypt,Actor,
,23 February 2017,أحمد,Egypt,Actor,لاشين
"Ahmed Seyam is an Egyptian actor who was born in Mansoura, Dakahleya Governorate in 1953. He graduated from the Faculty of Commerce of Cairo University in 1953. He was drawn to acting by coincidence when he was discovered by director Shakir Khadeer when he was still a university ",20 November 1954,Ahmed,Egypt,Actor,Seyam
,NULL,Dina,Egypt,Actor,Salah
,NULL,Essam,Egypt,Actor,Shahin
"Mohamed Saharf is an Egyptian actor born on the 19th of February 1963. He graduated from the Commercial Technical Institute in 1984. Afterwards he head to Cairo to begin his artistic career with ""Arabisc"" series and ""Houda Karama"" theatrical play.,[مضاعفات مرض القلب]",19 February 1963,Mohamed,Egypt,Actor,Sharaf
,NULL,Ahmed,Egypt,Cinematographer,Gabr
,NULL,Ehab,Egypt,Director,Amr
"Zizi El Badrawi was born in 1944. Born as Fadwa Gamil Al Bitar, she was renamed by director Hassan Al Imam. She started her acting career with director Ezz El Din Zolfakar in a small role in “Port Said” before Hassan Al Imam chose her for “Aawatef,” changed her anem and cated her,[مرض سرطان الرئة]", 9 June 1944,Zizi,Egypt,Actor,El Badrawi
,NULL,Film,Egypt,Producer,Clinic
,NULL,Karim,Egypt,Director,El Shenawy
"Sa’id Saleh Ibrahim was born in Cairo. Saleh earned a degree in arts in 1960 and worked on theatrical productions of the likes of “Hallo Shalaby”, “Madrasat al-Mushaghbeen” (Mischief at School), “al-‘Eyal Kibrit” (The Kids Grew Up), “Ka’baloun” and “Nahhnu Nashkur al-Zuruf”,[أمراض الشيخوخة والقلب والسكر]",31 July 1938,Saeed,Egypt,Actor,Saleh
,NULL,Dollar,Egypt,Distributor,Film
"After finishing his high school studies in 1966, he graduated from the faculty of Arts in 1970. Ahmad was an actor, play writer and director in the Youth centers theatre. As actor, he also worked in a number of radio series, it was his appearance in TV series that started his", 1 May 1945,Ahmad,Egypt,Actor,Bedir
,NULL,Marwa,Egypt,Actor,Tharwat
,15 May 1979,Mohamed,Egypt,Actor,Kamal
,NULL,Ahmed,Egypt,Producer,Farghalli
A’mr is an eminent director who graduated from Cairo University’s faculty of Commerce in 2005. A’mr chose not to pursue a career in commerce but rather elected to pursue a career in art. He has nonetheless made use of his education in commerce in making his films. Salama has,22 November 1982,Amr,Egypt,Director,Salama
,NULL,Amina,Egypt,Actor,Mohammad
,NULL,لورين,Egypt,Actor,
, 5 November 1986,Aly,Egypt,Actor,elkhameesy 
,16 October 1983,Mahmoud,Egypt,Actor,Azzazy
,NULL,Sharif,Egypt,Actor,Abu Lailah
,NULL,Ali,United Arab Emirates,Actor,Khamis
,NULL,كمال,Egypt,Actor,الحفناوي
,NULL,Maryam,Egypt,Actor,Abdel Aziz
,NULL,Mohamed,Egypt,Actor,Abd El Azim
,NULL,Ahmad,Egypt,Actor,Al Numrusi
,NULL,Raafat,Egypt,Actor,Elbauomy
,NULL,Hend,Egypt,Actor,Fathy
,31 January 1991,Yara,Egypt,Actor,Fahmy
,NULL,أيمن,Egypt,Actor,تادرس
,NULL,وجدي,Egypt,Actor,محمد
,NULL,Abdul,Egypt,Actor,Hakim Darwish
,NULL,Leila,Egypt,Actor,Abdel Aziz
,NULL,Muhammad,Egypt,Actor,Seraj
,NULL,Nahid,Egypt,Actor,Mohamed
"Samia Asaad is an Egyptian actress. She studied acting at the American University in Cairo, and started acting on stage while studying. She acted in plays in Arabic and English, and starred in the play “Al Less” (The Thied) on Rawabet Independent Theater, where she was noticed by",NULL,Samia,Egypt,Actor,Asaad
"Laila Ezz El Arab is an Egyptian actress. She graduated from the faculty of commerce, and holds a PhD in economics. She worked in her primary field for years, until she fully retired in 2005 and started pursuing a career in acting. Since then, she has appeared in many films and",20 January 1948,Laila,Egypt,Actor,Ezz El Arab
"Maged El Kedwany is an Egyptian film and television actor. In 1967, he was born in Shubra in Cairo, but lived in Kuwait up until age 18. He began his professional career while studying design at the Faculty of Fine Arts. He began acting in a number of amateur plays, which led to",10 December 1967,Maged,Egypt,Actor,El Kedwany
,NULL,Sahiraa,Egypt,ArtDirector,Moshier
,NULL,Naira,Egypt,CostumeDesigner,El-Dahshwry
,NULL,Galal,Egypt,Actor,El Behiry
,NULL,Nadia,Egypt,Actor,El Gendy
, 3 July 1984,كيرلس,Egypt,Editor,يعقوب
,NULL,Abdullah,Egypt,Actor,Medhat
,NULL,وسام,Egypt,Actor,حسن
"Mohamed Al Sobky is an Egyptian producer whose films have fared consistently well at the box office despite attracting negative reviews from critics. Al Sobky states that his works seek to engage the populist classes from which he himself originates, adding that he knows how to",14 November 1953,Mohamed,Egypt,Producer,El Sobky
,NULL,Suha,Egypt,Actor,Samir
,NULL,جيسين,Egypt,Actor,جو دانيال
,17 February 1990,Mohamed,Egypt,Director,Bedir
,NULL,Farouq,Egypt,Actor,Al Jundi
,NULL,ستوديو,Egypt,ArtDirector,نحاس (النيل)
,NULL,Donia,Egypt,CostumeDesigner,Abd El Maaboud
"Satirical writer and actor, Ahmed Fahmy, graduated with a degree in political science and economics. He began his career in acting as an amateur in an independent film group called ""Tamr Hendy"" during his college years. Tamr Hendy produced many satirical films, among", 6 November 1980,Ahmad,Egypt,Actor,Fahmy
,NULL,هاني,Egypt,Other,المغربي
,NULL,Bilal,Egypt,MakeupArtist,Najib
,NULL,وليد,Egypt,Cinematographer,جابر
,NULL,yahya,Egypt,Cinematographer,fahme
,NULL,Mostafa,Egypt,Other,El Tokhy
, 1 January 1981,Mohamed,Egypt,Cinematographer,Ezz Elarab
"Mahmoud Fouaad Yasseen was born in Portsaid. 
He graduated from the faculty of law in 1964. One year before graduating he joined the National Theatre where he was the narrator in a number of ", 2 June 1941,Mahmoud,Egypt,Actor,Yassine
,NULL,Shady,Egypt,Director,El Kordy
,NULL,Moustafa,Egypt,Director,Madboly
,NULL,Mohammed,Egypt,Director,Al-Fangary
,NULL,Sally,Egypt,Actor,Hammad
,NULL,Saeed,Egypt,Producer,Abu Zaid
"Karim Fahmy is an Egyptian actor, and brother of screenwriter Ahmed Fahmy. He studied in the Faculty of Dentistry in Cairo. He then entered the media after being selected to participate in the TV show “Ard Khas” (Special Screening), playing his real life ", 3 December 1982,Karim,Egypt,Actor,Fahmy
,NULL,نشوى,Egypt,Actor,سلامة
,NULL,ياسر,Egypt,Actor,ربيع
,NULL,بسيمة,Egypt,Actor,برسيخ
,NULL,نيفين,Egypt,Actor,عبدالعاطي
,NULL,محمد,Egypt,Actor,رجب
, 6 June 1983,Mohamed,Egypt,Actor,al-Kilani
"Ali Rabie is an Egyptian actor. He was born in 1989. He graduated from the faculty of commerce in Cairo, where he started his career as an actor on the faculty's stage and made 25 plays that participated in various acting and theater festivals across the country. He then",29 March 1989,Ali,Egypt,Actor,Rabie
,18 June 1984,Mostafa,Egypt,Actor,Abbas
,NULL,جيرمين,Egypt,Actor,أشرف
,NULL,رنا,Egypt,Actor,شلبي
,NULL,منة,Egypt,Actor,
,NULL,Sally,Egypt,Actor,Said Hammad
,NULL,محمد,Egypt,ArtDirector,أمين
,NULL,Attia,Egypt,GraphicDesigner,Amin
,30 October 1985,Mostafa,Egypt,Director,Abou Seif
,NULL,Akram,Egypt,Director,Hossameldin
, 4 April 1985,Mahmoud,Egypt,Producer,Moselhy
"Tamer Shaltout has worked for the channel (Mazzika) as a presenter in the (music news segment). He has also presented many of the channel’s concerts in addition to conducting interviews with several (performers). 
Following his (stint) at (Mazzika), Tamer Shaltout worked for",15 January 1986,Tamer,Egypt,Actor,Shaltout
,NULL,Gamal,Egypt,Director,Harb
,NULL,Lamia,Egypt,Director,Adel
,NULL,Yahya,Egypt,Actor,Zakariya
,NULL,علا,Egypt,Actor,أشرف
,NULL,أدهم,Egypt,Actor,عزام
,NULL,Khaled,Egypt,Actor,al-Sharif
"Nagaat Aly Hassan al-Geddaawy went to Franciscaines school in Cairo. She worked in the translation department of an advertizing agency where she was chosen “Miss Cotton 1958” giving her the chance to become a mannequin. She started acting in cinema and theatre with her aunt,[مضاعفات فيروس كورونا]", 6 September 1934,Ragaa,Egypt,Actor,Al-Geddawy
, 7 January 2004,malak,Egypt,Actor,tarek
,NULL,Lala,Egypt,Actor,Al Sisi
,25 January 2018,Mustafa,Egypt,Actor,Tulba
,NULL,محمد,Egypt,Actor,أحمد حسين
"An Egyptian actor, his first role was in the film “Al Laana”.",10 September 1985,Ibrahim,Egypt,Actor,El Samman
,NULL,Rana,Egypt,Actor,Sharif
,20 April 1959,Sohaila,Egypt,Actor,Hussein
,NULL,Diana,Egypt,Actor,Harb
,NULL,نشوى,Egypt,Actor,عادل
"Samar Gaber is an Egyptian actress and television show hostess. She also worked in fashion design and modeling. Her debut on film was in the 2009 film ""Ehky ya Sharazad"" (Tell Me, Shahrazad). She then went on to appear in the television series ""Aa'ilat",NULL,Samar,Egypt,Actor,Gaber
